1	-184.39	185.39	0	0	0	0	0	0	0	0	2.0027	1.9973	0	0	0	0	0	0	0	0
2	-0.2259	1.2259	0	0	0	0	0	0	0	0	5.5272	2.3992	0	0	0	0	0	0	0	0
3	0.6045	0.3955	0	0	0	0	0	0	0	0	2.8174	0.6625	0	0	0	0	0	0	0	0
4	0.3278	0.6722	0	0	0	0	0	0	0	0	4.543	0.9852	0	0	0	0	0	0	0	0
5	0.2327	0.7673	0	0	0	0	0	0	0	0	5.99	1.2135	0	0	0	0	0	0	0	0
6	0.1537	0.8463	0	0	0	0	0	0	0	0	8.0404	1.4913	0	0	0	0	0	0	0	0
7	0.0996	0.9004	0	0	0	0	0	0	0	0	10.812	1.7687	0	0	0	0	0	0	0	0
8	0.0625	0.9375	0	0	0	0	0	0	0	0	14.823	2.0403	0	0	0	0	0	0	0	0
9	0.0368	0.9632	0	0	0	0	0	0	0	0	21.4	2.306	0	0	0	0	0	0	0	0
10	0.0188	0.9812	0	0	0	0	0	0	0	0	34.999	2.5662	0	0	0	0	0	0	0	0
11	0.7444	0.2556	0	0	0	0	0	0	0	0	4.1205	0.8718	0	0	0	0	0	0	0	0
12	0.6423	0.3577	0	0	0	0	0	0	0	0	4.7266	1.0025	0	0	0	0	0	0	0	0
13	0.6002	0.3998	0	0	0	0	0	0	0	0	5.1405	1.0153	0	0	0	0	0	0	0	0
14	0.516	0.484	0	0	0	0	0	0	0	0	5.8492	1.1732	0	0	0	0	0	0	0	0
15	0.4387	0.5613	0	0	0	0	0	0	0	0	6.6707	1.341	0	0	0	0	0	0	0	0
16	0.5459	-0.5333	0.9874	0	0	0	0	0	0	0	6.3703	2.5517	1.6753	0	0	0	0	0	0	0
17	0.7294	-0.7548	1.0254	0	0	0	0	0	0	0	6.2118	3.3883	1.8596	0	0	0	0	0	0	0
18	2.1912	-2.2852	1.094	0	0	0	0	0	0	0	5.547	4.5687	2.0446	0	0	0	0	0	0	0
19	0.0486	0.7759	0.1755	0	0	0	0	0	0	0	30.26	3.1243	0.7326	0	0	0	0	0	0	0
20	0.58	0.42	0	0	0	0	0	0	0	0	6.3218	1.0094	0	0	0	0	0	0	0	0
21	0.5543	0.4457	0	0	0	0	0	0	0	0	6.6328	1.1023	0	0	0	0	0	0	0	0
22	0.0112	0.6832	0.3056	0	0	0	0	0	0	0	99.757	4.1286	1.009	0	0	0	0	0	0	0
23	0.0318	0.6753	0.2929	0	0	0	0	0	0	0	42.533	3.9404	1.0533	0	0	0	0	0	0	0
24	0.1075	0.7162	0.1763	0	0	0	0	0	0	0	18.959	3.0638	1.0014	0	0	0	0	0	0	0
25	0.0498	0.6866	0.2636	0	0	0	0	0	0	0	31.864	3.7811	1.1279	0	0	0	0	0	0	0
26	0.0512	0.6995	0.2493	0	0	0	0	0	0	0	31.825	3.7716	1.1606	0	0	0	0	0	0	0
27	0.05	0.7142	0.2358	0	0	0	0	0	0	0	32.915	3.7908	1.1915	0	0	0	0	0	0	0
28	0.0474	0.7294	0.2232	0	0	0	0	0	0	0	34.758	3.8299	1.2209	0	0	0	0	0	0	0
